Image,CharName,Symmetric,Inverted,Up_Capacity,Down_Capacity,Left_Capacity,Right_Capacity
0_d,0,1,1,0,0.005129093,0,0
0_u,0,1,0,0,0.047985664,0,0
1_d,1,0,1,0,1.302119122,0.014681032,0.882801306
1_u,1,0,0,0,0.064150353,0.0344403,0.620925057
2_d,2,0,1,0,0.032835677,3.021789025,0.225624057
2_u,2,0,0,0,0.004469581,5.32357217,0.048810358
3_d,3,0,1,0,0.194024956,0.207605534,0.153967484
3_u,3,0,0,0,0.000785156,5.42360378,0.00427288
4_d,4,0,1,0.007697635,0.196714049,0.172292049,0
4_u,4,0,0,0,0.061114768,0,0.007925059
5_d,5,0,1,0,0.418296898,1.338501973,0.20086458
5_u,5,0,0,0,0.022484586,4.419846604,0.126861081
6_d,6,0,1,0,0.320700266,1.935673205,0
6_u,6,0,0,0,0.010599629,0,0.044379615
7_d,7,0,1,0,0.004916757,0,0.077477226
7_u,7,0,0,0,1.43088147,3.514993843,0
8_d,8,1,1,0,0.495004232,0.126654957,0.007974375
8_u,8,1,0,0,0.034656763,0.000561933,0.001223209
9_d,9,0,1,0,0.011208115,0,0.095283532
9_u,9,0,0,0,0.290307449,2.437107628,0
A_cap_d,A,0,1,0.697981087,1.523927005,0,0
A_cap_u,A,0,0,0,0.095789607,0,0
a_d,a,0,1,0.001111983,0.250994997,0,0.227839616
a_u,a,0,0,0,0.020108545,6.230658164,0
B_cap_d,B,0,1,0,0.288285084,0.255176272,0
B_cap_u,B,0,0,0,0.001699678,0,0.002855036
b_d,b,0,1,0.003603683,0.011070009,0,0.037957145
b_u,b,0,0,0.012870662,0.042014174,0,0
C_cap_d,C,0,1,0,0.091893623,0.051861429,0
C_cap_u,C,0,0,0,0.003369926,0,1.691732749
c_d,c,0,1,0,0.241419485,0.038238325,0
c_u,c,0,0,0,0.008090699,0,0.971888081
D_cap_d,D,0,1,0,0.010425603,0,0
D_cap_u,D,0,0,0,0.002110606,0,0
d_d,d,0,1,0.001477126,0.026475125,0,0
d_u,d,0,0,0.027783464,0.022886519,0,0
E_cap_d,E,0,1,0,0.217082863,3.057910397,0
E_cap_u,E,0,0,0,0.010138121,0,0.110789866
e_d,e,0,1,0,0.007785696,6.776100657,0
e_u,e,0,0,0.00697715,0.014180906,0,0.17619735
F_cap_d,F,0,1,0.032041132,0.010835647,0,0
F_cap_u,F,0,0,0,0.02363079,0,0.119329814
f_d,f,0,1,0,0.115531612,0.010211793,0.00563078
f_u,f,0,0,0,0.714593311,0.108345179,0.16087096
G_cap_d,G,0,1,0,0.253592793,3.098367919,0
G_cap_u,G,0,0,0,0.002363693,0,0.169121603
g_d,g,0,1,0.004144038,0.202051381,0.005651853,0
